project,pairing_mode,file_old,file_new,scope,change_type,line_old,pos_old,line_new,pos_new,kind_old,kind_new,text_old,text_new
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,class:PlainMarkerProfile,added,,,32,1,,ClassDef,,"class PlainMarkerProfile(ProfileBase): """"""Plain Marker format profile (v1.x compatibility)."""""" HEADER_PATTERN = re.compile('^\\s*#\\s*={50,}\\s*$') FILE_PATTERN = re.compile('^\\s*#\\s*FILE\\s*:\\s*(.+?)\\s*$', re.IGNORECASE) META_PATTERN = re.compile('^\\s*#\\s*META\\s*:\\s*(.+?)\\s*$', re.IGNORECASE) META_FIELD_PATTERN = re.compile('(\\w+)\\s*=\\s*([^;]+)') @property def profile_name(self) -> str: return 'plain_marker' def get_display_name(self) -> str: return 'Plain Marker (Legacy)' def get_capabilities(self) -> Dict[str, bool]: return {'supports_binary': True, 'supports_checksums': False, 'supports_metadata': True} def detect_format(self, text: str) -> bool: """"""Detect if text appears to use '# FILE:' markers."""""" for line in text.splitlines()[:20]: if self.FILE_PATTERN.match(line): return True return False def parse_stream(self, text: str) -> BundleManifest: """""" Parse plain-marker bundle text into a BundleManifest. Rules: - '# FILE: <path>' begins a new file block. - '# META: key=value; ...' is optional; later keys override earlier. - Separator lines (====) are ignored. - Empty or dot-only paths after '# FILE:' are ignored. - Duplicate paths are consolidated with last-one-wins. """""" entries: List[BundleEntry] = [] current_block: Optional[Dict[str, str]] = None current_meta: Dict[str, str] = {} for line_no, line in enumerate(text.splitlines(keepends=True), start=1): m_file = self.FILE_PATTERN.match(line) if m_file: if current_block is not None: current_block['content'] = self._trim_header_spacing(current_block['content'], current_meta) entries.append(self._finalize(current_block, current_meta)) raw_path = (m_file.group(1) or '').strip() if not raw_path or raw_path in {'.', './', '.\\', '/'}: current_block = None current_meta = {} continue current_block = {'path': raw_path, 'content': '', 'line_start': line_no} current_meta = {} continue m_meta = self.META_PATTERN.match(line) if m_meta and current_block is not None: current_meta.update(self._parse_meta(m_meta.group(1))) continue if self.HEADER_PATTERN.match(line): continue if current_block is not None: current_block['content'] += line if current_block is not None: current_block['content'] = self._trim_header_spacing(current_block['content'], current_meta) entries.append(self._finalize(current_block, current_meta)) if not entries: raise ProfileParseError(self.profile_name, 'No files found in bundle', 0) seen = set() consolidated: List[BundleEntry] = [] for e in reversed(entries): if e.path not in seen: seen.add(e.path) consolidated.append(e) entries = list(reversed(consolidated)) return BundleManifest(entries=entries, profile=self.profile_name, metadata={'format_version': '1.x', 'parser': 'PlainMarkerProfile'}) def format_manifest(self, manifest: BundleManifest) -> str: """""" Convert a BundleManifest to plain-marker text. Always writes 'bundle_format_diagnostic.log' with detailed entry info. """""" self._validate_before_format(manifest) import logging logger = logging.getLogger('bundle.format_diagnostic') logger.setLevel(logging.DEBUG) if not logger.handlers: fh = logging.FileHandler('bundle_format_diagnostic.log', mode='w', encoding='utf-8') fh.setLevel(logging.DEBUG) fmt = logging.Formatter('%(asctime)s - %(levelname)s - %(message)s') fh.setFormatter(fmt) logger.addHandler(fh) logger.propagate = False logger.info('=' * 80) logger.info('STARTING format_manifest()') logger.info(f'Manifest contains {len(manifest.entries)} entries') logger.info('=' * 80) border = '# ' + '=' * 67 out: List[str] = [] for idx, entry in enumerate(manifest.entries): logger.info(f'\n--- Processing Entry {idx + 1}/{len(manifest.entries)} ---') logger.info(f' Path: {entry.path}') logger.info(f' Binary: {entry.is_binary}') logger.info(f' Encoding: {entry.encoding}') logger.info(f' EOL: {entry.eol_style}') logger.info(f' Content length: {len(entry.content)} chars') logger.info(f' Content ends with newline: {entry.content.endswith(chr(10))}') logger.info(f' Content ends with CRLF: {entry.content.endswith(chr(13) + chr(10))}') tail = entry.content[-50:] if entry.content else '' logger.info(f' Last 50 chars (repr): {(repr(tail) if tail else 'EMPTY')}') mode = 'binary' if entry.is_binary else 'text' encoding = entry.encoding or ('base64' if entry.is_binary else 'utf-8') eol = entry.eol_style or ('n/a' if entry.is_binary else 'LF') header = f'{border}\n# FILE: {entry.path}\n# META: encoding={encoding}; eol={eol}; mode={mode}\n{border}\n' if entry.is_binary: if isinstance(entry.content, str): payload = entry.content.strip() elif isinstance(entry.content, (bytes, bytearray)): payload = base64.b64encode(bytes(entry.content)).decode('ascii') else: raise ProfileFormatError(self.profile_name, f'Unsupported binary content type: {type(entry.content)}') block = header + payload + '\n' else: text = entry.content if isinstance(entry.content, str) else str(entry.content) block = header + text if not block.endswith('\n'): block += '\n' if idx < len(manifest.entries) - 1: block += '' out.append(block) logger.info('COMPLETED format_manifest()') return ''.join(out) def _parse_meta(self, meta_str: str) -> Dict[str, str]: meta: Dict[str, str] = {} for k, v in self.META_FIELD_PATTERN.findall(meta_str): meta[k.strip().lower()] = v.strip() return meta def _trim_header_spacing(self, content: str, meta: Dict[str, str]) -> str: """""" Trim a redundant separator newline while honoring an explicit trailing flag. META example: trailing=false|true """""" trailing = (meta.get('trailing') or '').strip().lower() if content.endswith('\n\n'): return content[:-2] if trailing == 'false' else content[:-1] if trailing == 'false' and content.endswith('\n'): return content[:-1] return content def _finalize(self, raw: Dict[str, str], meta: Dict[str, str]) -> BundleEntry: path = raw['path'].replace('\\', '/') mode = (meta.get('mode') or '').lower() encoding = (meta.get('encoding') or ('base64' if mode == 'binary' else 'utf-8')).lower() is_binary = mode == 'binary' or encoding == 'base64' eol = meta.get('eol') or ('n/a' if is_binary else 'LF') return BundleEntry(path=path, content=raw.get('content', ''), is_binary=is_binary, encoding=encoding, eol_style=eol, checksum=None) def _validate_before_format(self, manifest: BundleManifest) -> None: """"""Ensure entries are well-formed before formatting."""""" for e in manifest.entries: if e.is_binary and (not isinstance(e.content, (str, bytes, bytearray))): raise ProfileFormatError(self.profile_name, 'Binary entry content must be str/bytes') if not e.encoding: e.encoding = 'base64' if e.is_binary else 'utf-8' if not e.eol_style: e.eol_style = 'n/a' if e.is_binary else 'LF'"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,class:PlainMarkerProfile,added,,,33,1,,Expr,,'Plain Marker format profile (v1.x compatibility).'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,class:PlainMarkerProfile,added,,,36,1,,Assign,,"HEADER_PATTERN = re.compile('^\\s*#\\s*={50,}\\s*$')"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,class:PlainMarkerProfile,added,,,37,1,,Assign,,"FILE_PATTERN = re.compile('^\\s*#\\s*FILE\\s*:\\s*(.+?)\\s*$', re.IGNORECASE)"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,class:PlainMarkerProfile,added,,,38,1,,Assign,,"META_PATTERN = re.compile('^\\s*#\\s*META\\s*:\\s*(.+?)\\s*$', re.IGNORECASE)"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,class:PlainMarkerProfile,added,,,39,1,,Assign,,META_FIELD_PATTERN = re.compile('(\\w+)\\s*=\\s*([^;]+)')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._finalize,added,,,241,1,,FunctionDef,,"def _finalize(self, raw: Dict[str, str], meta: Dict[str, str]) -> BundleEntry: path = raw['path'].replace('\\', '/') mode = (meta.get('mode') or '').lower() encoding = (meta.get('encoding') or ('base64' if mode == 'binary' else 'utf-8')).lower() is_binary = mode == 'binary' or encoding == 'base64' eol = meta.get('eol') or ('n/a' if is_binary else 'LF') return BundleEntry(path=path, content=raw.get('content', ''), is_binary=is_binary, encoding=encoding, eol_style=eol, checksum=None)"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._finalize,added,,,242,1,,Assign,,"path = raw['path'].replace('\\', '/')"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._finalize,added,,,243,1,,Assign,,mode = (meta.get('mode') or '').lower()
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._finalize,added,,,244,1,,Assign,,encoding = (meta.get('encoding') or ('base64' if mode == 'binary' else 'utf-8')).lower()
